epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4347.07,0.24946,0.33815,0.34507,0.89068,0.92698,0.91998,0.9518,0.94447,0.9257,0.91875,0.95107,0.944,0.16589,0.48699,0.31154,0.81316,0.000275084,0.000275084,0.000275084
40,4458.85,0.24753,0.33604,0.35066,0.89015,0.92988,0.92713,0.96125,0.95285,0.92743,0.92466,0.95949,0.95094,0.16386,0.42779,0.29248,0.81124,0.000253086,0.000253086,0.000253086
41,4568.01,0.1831,0.23418,0.26383,0.85566,0.9421,0.9136,0.95682,0.94785,0.94075,0.91236,0.956,0.94825,0.16201,0.5232,0.30367,0.80752,0.000231088,0.000231088,0.000231088
42,4676.81,0.1699,0.23101,0.2441,0.84609,0.93036,0.93228,0.95848,0.94958,0.92908,0.93105,0.95767,0.949,0.15625,0.52903,0.28112,0.80485,0.00020909,0.00020909,0.00020909
43,4784.7,0.16911,0.2299,0.23483,0.84731,0.92473,0.92696,0.95917,0.95203,0.9146,0.93386,0.95792,0.9496,0.15248,0.5723,0.28648,0.80361,0.000187092,0.000187092,0.000187092
44,4893.04,0.15965,0.22261,0.21567,0.83775,0.90915,0.93914,0.95752,0.95006,0.9079,0.93791,0.9573,0.94757,0.15037,0.57575,0.29008,0.80218,0.000165095,0.000165095,0.000165095
45,5001.57,0.15744,0.22014,0.21041,0.83686,0.94755,0.91865,0.9635,0.95805,0.94628,0.91742,0.96235,0.95423,0.14576,0.4907,0.26348,0.80043,0.000143097,0.000143097,0.000143097
46,5110.04,0.15234,0.22132,0.19749,0.83502,0.921,0.93919,0.96392,0.95801,0.91977,0.93796,0.96337,0.95576,0.14327,0.50034,0.26828,0.79806,0.000121099,0.000121099,0.000121099
47,5219.55,0.15044,0.21799,0.18825,0.83395,0.91956,0.93288,0.96017,0.95535,0.91833,0.9318,0.95926,0.95264,0.14132,0.52766,0.28127,0.79764,9.91012e-05,9.91012e-05,9.91012e-05
48,5330.17,0.14627,0.21823,0.17818,0.8314,0.93023,0.93925,0.96364,0.95758,0.92905,0.93802,0.96257,0.95579,0.14076,0.59051,0.26501,0.79891,7.71034e-05,7.71034e-05,7.71034e-05
49,5438.54,0.14458,0.21639,0.16722,0.82962,0.93646,0.92945,0.96084,0.95547,0.93523,0.92822,0.96059,0.9524,0.13981,0.54473,0.26729,0.7972,5.51056e-05,5.51056e-05,5.51056e-05
50,5547.64,0.14163,0.21498,0.16877,0.82955,0.92016,0.94012,0.9615,0.95606,0.91893,0.93889,0.96154,0.95411,0.13693,0.54713,0.27099,0.79542,3.31078e-05,3.31078e-05,3.31078e-05
